n_states,initialization,log_likelihood,aic,bic,model_params
3,6,-1278.3711561044722,2584.7423122089444,2652.8501811005367,"{'means': array([[-0.73045451],
       [ 0.43225787],
       [ 1.77683604]]), 'covars': array([[[0.19845878]],

       [[0.53330517]],

       [[0.683041  ]]]), 'transmat': array([[0.50343453, 0.44038179, 0.05618368],
       [0.43363283, 0.45617875, 0.11018842],
       [0.49149746, 0.35806438, 0.15043815]]), 'startprob': array([1.00000000e+00, 3.35918169e-10, 1.16734637e-56])}"
3,7,-1271.9590219924905,2571.918043984981,2640.0259128765733,"{'means': array([[-0.97358924],
       [-0.21904212],
       [ 0.87806661]]), 'covars': array([[[0.10213143]],

       [[0.22525834]],

       [[0.83210418]]]), 'transmat': array([[0.34625036, 0.23005992, 0.42368972],
       [0.24041042, 0.45807221, 0.30151737],
       [0.25150258, 0.30870255, 0.43979487]]), 'startprob': array([1.25547644e-104, 1.00000000e+000, 8.26733478e-150])}"
3,8,-1272.3179836871493,2572.6359673742986,2640.743836265891,"{'means': array([[-0.30207755],
       [-0.97661844],
       [ 0.79959215]]), 'covars': array([[[0.25558793]],

       [[0.09934767]],

       [[0.87506848]]]), 'transmat': array([[0.53443554, 0.17069685, 0.2948676 ],
       [0.13740238, 0.36149508, 0.50110255],
       [0.30605254, 0.21774874, 0.47619872]]), 'startprob': array([1.00000000e+00, 1.43493259e-68, 2.63844138e-81])}"
3,9,-1278.5896558842937,2585.1793117685875,2653.2871806601797,"{'means': array([[ 1.34932807],
       [-0.7259181 ],
       [ 0.39954696]]), 'covars': array([[[0.87716625]],

       [[0.20079874]],

       [[0.45337126]]]), 'transmat': array([[0.21673338, 0.4841875 , 0.29907913],
       [0.11779595, 0.5152751 , 0.36692895],
       [0.19074663, 0.45002356, 0.35922981]]), 'startprob': array([2.51188725e-72, 1.00000000e+00, 8.46717314e-28])}"
4,0,-1271.8910129817318,2589.7820259634636,2701.6735248567934,"{'means': array([[ 0.78480548],
       [ 0.80769053],
       [-0.60660647],
       [ 2.38555332]]), 'covars': array([[[0.68179411]],

       [[0.03074155]],

       [[0.26124767]],

       [[0.48753089]]]), 'transmat': array([[3.46830190e-01, 7.69742993e-10, 6.53169622e-01, 1.87017154e-07],
       [1.49606900e-01, 2.67741832e-01, 1.89847188e-01, 3.92804081e-01],
       [3.33380019e-01, 5.09614963e-02, 5.99876706e-01, 1.57817783e-02],
       [7.16090358e-01, 5.22826954e-05, 2.80893978e-01, 2.96338166e-03]]), 'startprob': array([2.10487779e-030, 6.79229807e-215, 1.00000000e+000, 1.68155190e-240])}"
4,1,-1262.068071579276,2570.136143158552,2682.0276420518817,"{'means': array([[-0.23685175],
       [ 1.17852201],
       [-0.95493425],
       [ 0.42998074]]), 'covars': array([[[0.0890311 ]],

       [[0.90111225]],

       [[0.10227387]],

       [[0.43688344]]]), 'transmat': array([[1.02498230e-01, 1.45255751e-07, 3.70567512e-01, 5.26934113e-01],
       [8.92009491e-03, 1.27959996e-01, 3.88281960e-01, 4.74837949e-01],
       [1.66180237e-01, 2.19923606e-01, 3.73178229e-01, 2.40717928e-01],
       [4.08451074e-01, 3.85285195e-01, 2.06262707e-01, 1.02344803e-06]]), 'startprob': array([1.00000000e+000, 1.31351751e-250, 1.22512457e-296, 3.16401703e-178])}"
4,2,-1263.339375791168,2572.678751582336,2684.570250475666,"{'means': array([[ 1.29167438],
       [-0.98372235],
       [ 0.77058608],
       [-0.2272599 ]]), 'covars': array([[[0.86348002]],

       [[0.09708517]],

       [[0.23870349]],

       [[0.13749231]]]), 'transmat': array([[1.76441921e-01, 3.70465294e-01, 2.42297584e-01, 2.10795201e-01],
       [1.69350465e-01, 3.55879019e-01, 2.08506646e-01, 2.66263871e-01],
       [3.66165106e-01, 1.70787859e-01, 4.63620729e-08, 4.63046989e-01],
       [9.92740544e-02, 2.97701814e-01, 2.22613396e-01, 3.80410736e-01]]), 'startprob': array([8.95861345e-198, 0.00000000e+000, 5.21389943e-308, 1.00000000e+000])}"
4,3,-1263.6296759856116,2573.259351971223,2685.150850864553,"{'means': array([[ 1.15201458],
       [-0.85048061],
       [-0.0486239 ],
       [ 0.39930652]]), 'covars': array([[[0.91377004]],

       [[0.13645945]],

       [[0.04682786]],

       [[0.4936233 ]]]), 'transmat': array([[0.37989678, 0.42127137, 0.16827681, 0.03055504],
       [0.14090155, 0.44794114, 0.02552691, 0.3856304 ],
       [0.20273172, 0.42134714, 0.37064214, 0.005279  ],
       [0.17581471, 0.33199734, 0.06611709, 0.42607087]]), 'startprob': array([3.81740854e-230, 7.54224779e-234, 1.00000000e+000, 5.73134778e-095])}"
4,4,-1263.6393328760464,2573.278665752093,2685.1701646454226,"{'means': array([[-0.81180177],
       [ 1.2519955 ],
       [ 0.53635899],
       [-0.03267087]]), 'covars': array([[[0.15247355]],

       [[0.90555514]],

       [[0.40570341]],

       [[0.0408327 ]]]), 'transmat': array([[0.49684085, 0.11963529, 0.35920394, 0.02431992],
       [0.46390321, 0.26300418, 0.17222043, 0.10087218],
       [0.37821364, 0.21882169, 0.28611537, 0.1168493 ],
       [0.4301489 , 0.19219964, 0.0160649 , 0.36158657]]), 'startprob': array([1.55011314e-020, 1.40206013e-111, 7.15463970e-168, 1.00000000e+000])}"
4,5,-1282.0712887079112,2610.1425774158224,2722.034076309152,"{'means': array([[-0.67455491],
       [ 0.57586595],
       [ 0.87903917],
       [ 0.53080965]]), 'covars': array([[[0.22242493]],

       [[0.7735626 ]],

       [[1.08087763]],

       [[0.75812523]]]), 'transmat': array([[5.06168776e-01, 3.32723071e-02, 2.16891046e-03, 4.58390007e-01],
       [3.42059499e-03, 5.51261257e-03, 7.43052953e-01, 2.48013839e-01],
       [4.86019818e-01, 9.15100049e-02, 1.60398469e-08, 4.22470161e-01],
       [5.22919535e-01, 2.49321810e-02, 4.47190677e-01, 4.95760711e-03]]), 'startprob': array([9.99959817e-01, 3.27332414e-09, 2.34974999e-28, 4.01793630e-05])}"
